"","Well","MST_sample_number","spcabbr","conc_copies_per_uL","Accepted_Droplets","Positives","Negatives","Tot_drop","init_concentration","ddpcrno","Bemaerkn","conc_qubit_ng_uL","Dato.for.ekstraktion","dato_80C","Dato_for_indsml","Dato_inds","Dyb_lagd01","Dyb_Str_m","Ekstraktionsnummer","Elueringvolumen.AE.buffer.uL","Inst","lokalitet_vanda","Lok_omr01","lok_pos_lat","lok_pos_lon","max_Dyb","MST.nummer","MST.n_Dinds","MSTno_di","MST_STEXno","Navn_Inds","Noter2","skib","smplNoSTEX","Sub_Nmb_for_extraction","Temp_Inds","U_Pr_Nr","vandsoejllagd","Vwf_mL","wdt","smpl_day","smpl_mnt","smpl_yea","Total_drop","Species","WellType","Conc","st_idx","species_idx","sp_st_idx","pres"
"458","E03","MST2021025","Hemtak",0,18979,0,18979,18979,NA,"ddpcr0026","Datoforoverfoerseltil_80Cfryserenilaboratorieterikkedokumenteremenproevemersenestblevetoverfoertd15_06_2021ogmuligvisvedentidligeredato
",3.16,"2022-jan-11","2021-06-15","2021-06-10","2021-06-10",NA,28,"MST-SX24",400,"Sjaelland",99150002,"FranksRev",55.0334833333333,15.5078333333333,39,"MST2021025","MST2021025_2021-06-10","MST2021025::2021-06-10","MST2021025STEX24_02","EmilGuddalLarsen",NA,"Mergus","MST2021025STEX24_02","24_02",16.8,"MST2021025","nej",1750,TRUE,10,6,2021,18979,"Hemtak","Unknown",0,19,9,403,0
"459","E04","MST2021088","Hemtak",0,16897,0,16897,16897,NA,"ddpcr0026",NA,16.5,"2022-feb-01","2021-05-21","2021-05-20","2021-05-20","75",188,"MST-SX25",400,"MSTFYN",96700057,"KertemindeBugt",55.4392166666667,10.8276944444444,198,"MST2021088","MST2021088_2021-05-20","MST2021088::2021-05-20","MST2021088STEX25_03","janeRobertsen",NA,"Frigg","MST2021088STEX25_03","25_03",73.7,"MST2021088","ja",1600,FALSE,20,5,2021,16897,"Hemtak","Unknown",0,45,9,429,0
"460","E05","MST2021070","Hemtak",0,19121,0,19121,19121,NA,"ddpcr0026",NA,9.1,"2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,19121,"Hemtak","Unknown",0,36,9,420,0
"461","E06","MST2021030","Hemtak",0,18237,0,18237,18237,NA,"ddpcr0026",NA,4.07,"2021-nov-24","2021-05-31","2021-05-26","2021-05-26","N_A",1,"MST-SX21",400,"MST_MJL",93740007,"SkiveFjord",56.6208333333333,9.06681944444444,5,"MST2021030","MST2021030_2021-05-26","MST2021030::2021-05-26","MST2021030STEX21_08","PHELD_NICRA",NA,"Sif","MST2021030STEX21_08","21_08",115.9,"MST2021030","nej",1600,TRUE,26,5,2021,18237,"Hemtak","Unknown",0,22,9,406,0
"462","E07","MST2021006","Hemtak",0,14371,0,14371,14371,NA,"ddpcr0026",NA,7.65,"2022-jan-11","2021-08-25","2021-08-24","2021-08-24","_",96,"MST-SX24",400,"MSTSTO",99210007,"1001027Hovedeskov",54.7410833333333,12.0851805555556,106,"MST2021006","MST2021006_2021-08-24","MST2021006::2021-08-24","MST2021006STEX24_13","NicolaiEspenhainAnker",NA,"ABRA","MST2021006STEX24_13","24_13",17.3,"MST2021006","nej",1400,TRUE,24,8,2021,14371,"Hemtak","Unknown",0,12,9,396,0
"463","F02","MST2021040","Hemtak",NA,0,0,0,0,NA,"ddpcr0026",NA,4.92,"2021-dec-08","2021-09-22","2021-09-15","2021-09-15",NA,95,"MST-SX22",400,"MSToestjylland",93420310,"Tr3Fornaes",56.4437333333333,10.9524027777778,11,"MST2021040","MST2021040_2021-09-15","MST2021040::2021-09-15","MST2021040STEX22_09","JensDeding",NA,"Havana","MST2021040STEX22_09","22_09",15.7,"MST2021040","?",1270,FALSE,15,9,2021,0,"Hemtak","Unknown",0,26,9,410,0
"464","F03","NEKfeb2022","Hemtak",0,17775,0,17775,17775,NA,"ddpcr0026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17775,"Hemtak","Unknown",0,48,9,432,0
"465","F04","MST2021062","Hemtak",0,18859,0,18859,18859,NA,"ddpcr0026",NA,19,"2022-feb-01","2021-05-21","2021-05-21","2021-05-21","12",1,"MST-SX25",400,"MSTFYN",95600002,"95600002_FYN6300043",54.9975833333333,10.1654166666667,361,"MST2021062","MST2021062_2021-05-21","MST2021062::2021-05-21","MST2021062STEX25_10","janeRobertsen",NA,"Frigg","MST2021062STEX25_10","25_10",112.2,"MST2021062","ja",1400,FALSE,21,5,2021,18859,"Hemtak","Unknown",0,34,9,418,0
"466","F05","MST1043","Hemtak",0,19221,0,19221,19221,NA,"ddpcr0026",NA,3.06,"2022-jan-06","2021-04-12","2021-04-06","2021-04-06",NA,11,"MST-SX23",400,"MSTOJL",93500119,"Hevringbugt",56.6261666666667,10.3204,12,"MST1043","MST1043_2021-04-06","MST1043::2021-04-06","MST1043STEX23_02","JOCTH",NA,"Musling",NA,"23_02",64.3,"MST1043","nej",1500,FALSE,6,4,2021,19221,"Hemtak","Unknown",0,8,9,392,0
"467","F06","MST2021055","Hemtak",0,17114,0,17114,17114,NA,"ddpcr0026",NA,5.3,"2021-nov-24","2021-09-15","2021-09-14","2021-09-14","24",1,"MST-SX21",400,"STO",99000049,"99000049",55.25,15.9833333333333,909,"MST2021055","MST2021055_2021-09-14","MST2021055::2021-09-14","MST2021055STEX21_12","krmsk",NA,"sif","MST2021055STEX21_12","21_12",169.3,"MST2021055","ja",1500,FALSE,14,9,2021,17114,"Hemtak","Unknown",0,32,9,416,0
"468","F07","MST2021011","Hemtak",0,16628,0,16628,16628,NA,"ddpcr0026",NA,4.23,"2021-dec-08","2021-08-03","2021-08-31","2021-08-31","_",4.1e+16,"MST-SX22",400,"MSTSTO",98210012,"0401011FemerenBaeltVest",54.73475,11.0846527777778,51,"MST2021011","MST2021011_2021-08-31","MST2021011::2021-08-31","MST2021011STEX22_05","NicolaiEspenhainAnker",NA,"ABRA","MST2021011STEX22_05","22_05",170.9,"MST2021011","nej",1500,TRUE,31,8,2021,16628,"Hemtak","Unknown",0,14,9,398,0
"469","G02","MST2021081","Hemtak",0,17139,0,17139,17139,NA,"ddpcr0026","RIB1510007",3.54,"2021-nov-24","2021-09-21","2021-09-20","2021-09-20",NA,1,"MST-SX21",400,"Sydjylland",91500007,"Soenderhooest",55.3375166666667,8.35012777777778,63,"MST2021081","MST2021081_2021-09-20","MST2021081::2021-09-20","MST2021081STEX21_22","LasseoerstedJensen",NA,"Haig","MST2021081STEX21_22","21_22",16,"MST2021081","nej",1300,FALSE,20,9,2021,17139,"Hemtak","Unknown",0,41,9,425,0
"470","G03","MST1028","Hemtak",0,9882,0,9882,9882,NA,"ddpcr0026",NA,7.15,"2022-jan-06","2021-03-26","2021-03-15","2021-03-15","17",282,"MST-SX23",400,"MSTSYD",95700008,"FFSB0011",54.8341666666667,9.81666666666667,292,"MST1028","MST1028_2021-03-15","MST1028::2021-03-15","MST1028STEX23_11","RasmusBillegrav",NA,"LivII",NA,"23_11",27.8,"MST1028","ja",1600,FALSE,15,3,2021,9882,"Hemtak","Unknown",0,4,9,388,0
"471","G04","MST2021051","Hemtak",0,18451,0,18451,18451,NA,"ddpcr0026",NA,22.5,"2022-feb-01","2021-06-10","2021-06-04","2021-06-04",NA,1,"MST-SX25",400,"MSTNJL",93730002,"93730002_VIB3708_1",56.9543333333333,9.07075,7,"MST2021051","MST2021051_2021-06-04","MST2021051::2021-06-04","MST2021051STEX25_16","RasmusBillegrav",NA,"Frigg","MST2021051STEX25_16","25_16",150.8,"MST2021051","nej",1700,FALSE,4,6,2021,18451,"Hemtak","Unknown",0,30,9,414,0
"472","G05","MST1024","Hemtak",0,17589,0,17589,17589,NA,"ddpcr0026",NA,1,"2022-jan-06","2021-04-19","2021-04-15","2021-04-15",NA,5,"MST-SX23",400,"MSTMJL",93770056,"NissumBredning",56.6008333333333,8.400225,6,"MST1024","MST1024_2021-04-15","MST1024::2021-04-15","MST1024STEX23_14","JOCTH",NA,"Musling",NA,"23_14",69,"MST1024","nej",1500,FALSE,15,4,2021,17589,"Hemtak","Unknown",0,2,9,386,0
"473","G06","MST2021085","Hemtak",0,17827,0,17827,17827,NA,"ddpcr0026",NA,3.26,"2021-nov-24","2021-09-22","2021-09-16","2021-09-16","8.8E+016",1,"MST-SX21",400,"SJL",93000001,"93000001",56.1305,11.1501055555556,439,"MST2021085","MST2021085_2021-09-16","MST2021085::2021-09-16","MST2021085STEX21_24","krmsk",NA,"sif","MST2021085STEX21_24","21_24",173.2,"MST2021085","ja",1700,FALSE,16,9,2021,17827,"Hemtak","Unknown",0,44,9,428,0
"474","G07","MST2021002","Hemtak",0,15082,0,15082,15082,NA,"ddpcr0026",NA,5.4,"2021-dec-08","2021-07-08","2021-07-07","2021-07-07","_",57,"MST-SX22",400,"MSTSTO",96220363,"0101142EnoeNor",55.15755,11.6357944444444,67,"MST2021002","MST2021002_2021-07-07","MST2021002::2021-07-07","MST2021002STEX22_04","jakobOleLarsen",NA,"ABRA","MST2021002STEX22_04","22_04",20.4,"MST2021002","nej",1000,TRUE,7,7,2021,15082,"Hemtak","Unknown",0,10,9,394,0
"475","H02","MST2021044","Hemtak",0,16654,0,16654,16654,NA,"ddpcr0026","RIB1510007",2.62,"2021-dec-08","2021-05-20","2021-05-19","2021-05-19",NA,1,"MST-SX22",400,"Sydjylland",91500007,"Soenderhooest",55.3375166666667,8.35012777777778,55,"MST2021044","MST2021044_2021-05-19","MST2021044::2021-05-19","MST2021044STEX22_11","LasseoerstedJensen",NA,"Haig","MST2021044STEX22_11","22_11",11,"MST2021044","nej",1200,FALSE,19,5,2021,16654,"Hemtak","Unknown",0,28,9,412,0
"476","H03","MST1027","Hemtak",0,17189,0,17189,17189,NA,"ddpcr0026",NA,5.4,"2022-feb-01","2021-03-26","2021-03-19","2021-03-19","95",155,"MST-SX25",400,"MSTFYN",96510125,"Sydfynskeoehav_BF11",55.0262,10.3685111111111,165,"MST1027","MST1027_2021-03-19","MST1027::2021-03-19","MST1027STEX25_15","RasmusBillegrav",NA,"LivII",NA,"25_15",42,"MST1027","ja",1500,FALSE,19,3,2021,17189,"Hemtak","Unknown",0,3,9,387,0
"477","H04","MST2021099","Hemtak",0,18621,0,18621,18621,NA,"ddpcr0026",NA,5.4,"2022-jan-11","2021-08-25","2021-08-24","2021-08-24","3",1,"MST-SX24",400,"MSTOJL",94400007,"94400007_ARH170006",56.1544166666667,10.3166972222222,16,"MST2021099","MST2021099_2021-08-24","MST2021099::2021-08-24","MST2021099STEX24_19","RasmusBillegrav",NA,"Frigg","MST2021099STEX24_19","24_19",175.1,"MST2021099","ja",1500,FALSE,24,8,2021,18621,"Hemtak","Unknown",0,47,9,431,0
"478","H05","MST1031","Hemtak",0,19190,0,19190,19190,NA,"ddpcr0026",NA,17.5,"2022-feb-01","2021-03-26","2021-03-17","2021-03-17","Ingenlagdeling",89,"MST-SX25",400,"MST_SJL",93210013,"Isefjordydre",55.8656666666667,11.7835111111111,105,"MST1031","MST1031_2021-03-17","MST1031::2021-03-17","MST1031STEX25_11","PHELD_NIFSO",NA,"Daphne",NA,"25_11",33.6,"MST1031","nej",1500,FALSE,17,3,2021,19190,"Hemtak","Unknown",0,5,9,389,0
"479","H06","MST1038","Hemtak",0,19215,0,19215,19215,NA,"ddpcr0026",NA,2.61,"2022-jan-06","2021-04-16","2021-04-14","2021-04-14","3",111,"MST-SX23",400,"MST_STORSTRoeM",95220322,"BFKarrebaeksmindeBugt",55.1395,11.5002361111111,121,"MST1038","MST1038_2021-04-14","MST1038::2021-04-14","MST1038STEX23_09","Alkri",NA,"DAPHNE",NA,"23_09",60.3,"MST1038","ja",1700,FALSE,14,4,2021,19215,"Hemtak","Unknown",0,6,9,390,0
"480","H07","MST2021013","Hemtak",0,14434,0,14434,14434,NA,"ddpcr0026",NA,9.55,"2021-dec-08","2021-09-10","2021-08-25","2021-08-25",NA,1,"MST-SX22",400,"Sjaelland",93220011,"ROS60",55.713,12.04,48,"MST2021013","MST2021013_2021-08-25","MST2021013::2021-08-25","MST2021013STEX22_06","EmilGuddalLarsen",NA,"Mergus","MST2021013STEX22_06","22_06",17.9,"MST2021013","nej",1600,TRUE,25,8,2021,14434,"Hemtak","Unknown",0,16,9,400,0
"481","A02","MST1039","Colper",0.0723469853401184,16262,1,16261,16262,NA,"ddpcr0033",NA,13.6,"2022-feb-01","2021-05-03","2021-04-26","2021-04-26","na",1,"MST-SX25",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21670555555556,32,"MST1039","MST1039_2021-04-26","MST1039::2021-04-26","MST1039STEX25_19","JettePoulsenEngholm",NA,"Penelope",NA,"25_19",95,"MST1039","nej",570,FALSE,26,4,2021,16262,"Colper","Unknown",0.0723469853401184,7,4,151,1
"482","A03","MST2021049","Colper",NA,0,0,0,0,NA,"ddpcr0033","LISD0027",7.75,"2022-jan-06","2021-05-21","2021-05-21","2021-05-21",NA,10,"MST-SX23",400,"Sydjylland",91650035,"ListerDyb",55.0938666666667,8.56828611111111,11,"MST2021049","MST2021049_2021-05-21","MST2021049::2021-05-21","MST2021049STEX23_10","LasseoerstedJensen",NA,"Fucus","MST2021049STEX23_10","23_10",11,"MST2021049","nej",500,FALSE,21,5,2021,0,"Colper","Unknown",0,29,4,173,0
"483","A04","MST2021012","Colper",0,16074,0,16074,16074,NA,"ddpcr0033",NA,11,"2022-feb-01","2021-05-03","2021-04-27","2021-04-27","na",59,"MST-SX25",400,"MSTSYD",95130028,"VejleFjordindre_VF",55.7021833333333,9.66136111111111,69,"MST2021012","MST2021012_2021-04-27","MST2021012::2021-04-27","MST2021012STEX25_12","KRISTIANMCGREGOR",NA,"LIVII","MST2021012STEX25_12","25_12",81.7,"MST2021012","nej",1500,TRUE,27,4,2021,16074,"Colper","Unknown",0,15,4,159,0
"484","A05","MST2021058","Colper",0,16410,0,16410,16410,NA,"ddpcr0033",NA,3.7,"2021-nov-24","2021-09-03","2021-08-30","2021-08-30","17",1,"MST-SX21",400,"MSTOJL",94300001,"94300001_VEJ0006870",55.6743833333333,10.0845083333333,194,"MST2021058","MST2021058_2021-08-30","MST2021058::2021-08-30","MST2021058STEX21_13","KRISTIANMCGREGOR",NA,"Frigg","MST2021058STEX21_13","21_13",100.7,"MST2021058","ja",1500,FALSE,30,8,2021,16410,"Colper","Unknown",0,33,4,177,0
"485","A06","MST2021039","Colper",0,15014,0,15014,15014,NA,"ddpcr0033",NA,2.72,"2021-dec-08","2021-05-20","2021-05-07","2021-05-07","7m",1,"MST-SX22",400,"MST_NJL",93610032,"MariagerFjord",56.6626666666667,9.96678333333333,27,"MST2021039","MST2021039_2021-05-07","MST2021039::2021-05-07","MST2021039STEX22_08","PHELD_ALKRI",NA,"Sif","MST2021039STEX22_08","22_08",92.8,"MST2021039","ja",1800,FALSE,7,5,2021,15014,"Colper","Unknown",0,25,4,169,0
"486","A07","MST2021043","Colper",0,16237,0,16237,16237,NA,"ddpcr0033","Dererkunenproevetilraadighed_proeve2erbortkommet",4.41,"2021-dec-08","2021-05-20","2021-05-17","2021-05-17","4",1,"MST-SX22",400,"MSTSJL",93000001,"VSJ20925",56.1316666666667,11.1513361111111,48,"MST2021043","MST2021043_2021-05-17","MST2021043::2021-05-17","MST2021043STEX22_10","alkri_nifso",NA,"Sif","MST2021043STEX22_10","22_10",10.6,"MST2021043","ja",1500,FALSE,17,5,2021,16237,"Colper","Unknown",0,27,4,171,0
"487","B02","MST2021015","Colper",0,15376,0,15376,15376,NA,"ddpcr0033",NA,5.4,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MST_MJL",91320001,"RKB1",56.0778333333333,8.21678611111111,32,"MST2021015","MST2021015_2021-09-02","MST2021015::2021-09-02","MST2021015STEX21_03","BentJensen",NA,"Penelope","MST2021015STEX21_03","21_03",17.5,"MST2021015","nej",925,TRUE,2,9,2021,15376,"Colper","Unknown",0,17,4,161,0
"488","B03","MST2021052","Colper",0,14160,0,14160,14160,NA,"ddpcr0033",NA,8.95,"2021-nov-24","2021-06-15","2021-06-14","2021-06-14","26",1,"MST-SX21",400,"Fyn",94230001,"FYN6900017",55.4678333333333,10.5169333333333,84,"MST2021052","MST2021052_2021-06-14","MST2021052::2021-06-14","MST2021052STEX21_10","FlemmingNoergaard",NA,"Belone","MST2021052STEX21_10","21_10",17.8,"MST2021052","ja",610,FALSE,14,6,2021,14160,"Colper","Unknown",0,31,4,175,0
"489","B04","MST2021075","Colper",0,14944,0,14944,14944,NA,"ddpcr0033",NA,4.86,"2021-dec-08","2021-05-20","2021-05-11","2021-05-11","13",1,"MST-SX22",400,"MSTOJL",94300001,"VEJ0006870_94300001",55.6743833333333,10.0845083333333,21,"MST2021075","MST2021075_2021-05-11","MST2021075::2021-05-11","MST2021075STEX22_13","janeRobertsen",NA,"Frigg","MST2021075STEX22_13","22_13",98.1,"MST2021075","ja",1100,FALSE,11,5,2021,14944,"Colper","Unknown",0,38,4,182,0
"490","B05","MST2021064","Colper",0,15849,0,15849,15849,NA,"ddpcr0033","Breddegrad:56572400",2.96,"2021-nov-24","2021-09-08","2021-09-02","2021-09-02","na",1,"MST-SX21",400,"MSTNJL",93730002,"93730002_VIB3708_1",56.954,9.05020833333333,76,"MST2021064","MST2021064_2021-09-02","MST2021064::2021-09-02","MST2021064STEX21_15","kristianmcgregor",NA,"Frigg","MST2021064STEX21_15","21_15",173.7,"MST2021064","nej",700,FALSE,2,9,2021,15849,"Colper","Unknown",0,35,4,179,0
"491","B06","MST1054","Colper",0,18107,0,18107,18107,NA,"ddpcr0033",NA,6.85,"2022-jan-11","2021-05-31","2021-05-18","2021-05-18","38m",1,"MST-SX24",400,"MST_FYN",99000052,"DMU444_Arkona",55,13.3,48,"MST1054","MST1054_2021-05-18","MST1054::2021-05-18","MST1054STEX24_23","ALKRI_NIFSO",NA,"Sif",NA,"24_23",92,"MST1054","ja",1400,FALSE,18,5,2021,18107,"Colper","Unknown",0,9,4,153,0
"492","B07","MST2021076","Colper",0,16640,0,16640,16640,NA,"ddpcr0033",NA,7.4,"2022-feb-01","2021-09-08","2021-09-02","2021-09-02","42",1,"MST-SX25",400,"MSTFYN",99000052,"DMU444",54.9996666666667,13.3,457,"MST2021076","MST2021076_2021-09-02","MST2021076::2021-09-02","MST2021076STEX25_04","alkri",NA,"Sif","MST2021076STEX25_04","25_04",17.5,"MST2021076","ja",1800,FALSE,2,9,2021,16640,"Colper","Unknown",0,39,4,183,0
"493","C02","MST2021028","Colper",0,12651,0,12651,12651,NA,"ddpcr0033","VandproeverneernedkoeletogtransporterettilAalborghvorfiltreringenskete",0.58,"2021-nov-24","2021-10-09","2021-09-27","2021-09-27",NA,NA,"MST-SX21",400,"Nordjylland",92200001,"HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,18,"MST2021028","MST2021028_2021-09-27","MST2021028::2021-09-27","MST2021028STEX21_06","SvendaageBendtsen",NA,"MagretheGaardbo","MST2021028STEX21_06","21_06",15,"MST2021028","nej",1200,TRUE,27,9,2021,12651,"Colper","Unknown",0,20,4,164,0
"494","C03","MST2021071","Colper",0.0838389843702316,14033,1,14032,14033,NA,"ddpcr0033",NA,6.5,"2022-jan-11","2021-10-21","2021-10-13","2021-10-13",NA,1,"MST-SX24",400,"Fyn",94230001,"FYN6900017",55.4678333333333,10.5169333333333,98,"MST2021071","MST2021071_2021-10-13","MST2021071::2021-10-13","MST2021071STEX24_04","FlemmingNoergaard&PauliJoergensen",NA,"Belone","MST2021071STEX24_04","24_04",11.4,"MST2021071","nej",1500,FALSE,13,10,2021,14033,"Colper","Unknown",0.0838389843702316,37,4,181,1
"495","C04","MST1022","Colper",NA,6397,0,6397,6397,NA,"ddpcr0033",NA,0.428,"2021-dec-08","2021-05-20","2021-05-17","2021-05-17","9",1,"MST-SX22",400,"MSTOJL",94400007,"ARH1700006_94400007",56.1547333333333,10.3170055555556,162,"MST1022","MST1022_2021-05-17","MST1022::2021-05-17","MST1022STEX22_02","janeRobertsen",NA,"Frigg",NA,"22_02",10.9,"MST1022","ja",1100,FALSE,17,5,2021,6397,"Colper","Unknown",0,1,4,145,0
"496","C05","MST2021079","Colper",0,14457,0,14457,14457,NA,"ddpcr0033",NA,7.6,"2021-nov-24","2021-09-08","2021-09-06","2021-09-06","2",1,"MST-SX21",400,"MSTMJL",93740007,"93740007_VIB3727_1",56.6208333333333,9.06681944444444,51,"MST2021079","MST2021079_2021-09-06","MST2021079::2021-09-06","MST2021079STEX21_21","RasmusBillegrav",NA,"Frigg","MST2021079STEX21_21","21_21",173.5,"MST2021079","ja",1100,FALSE,6,9,2021,14457,"Colper","Unknown",0,40,4,184,0
"497","C06","MST2021008","Colper",0,17261,0,17261,17261,NA,"ddpcr0033",NA,9.1,"2022-jan-11","2021-05-31","2021-05-19","2021-05-19","86",1,"MST-SX24",400,"MST_SJL",97200002,"KBH431_Ven",55.8666666666667,12.75,55,"MST2021008","MST2021008_2021-05-19","MST2021008::2021-05-19","MST2021008STEX24_05","ALKRI_NIFSO",NA,"Sif","MST2021008STEX24_05","24_05",11.8,"MST2021008","ja",1300,FALSE,19,5,2021,17261,"Colper","Unknown",0,13,4,157,0
"498","C07","MST2021029","Colper",0,16412,0,16412,16412,NA,"ddpcr0033",NA,5.7,"2021-nov-24","2021-09-15","2021-09-07","2021-09-07","12",1,"MST-SX21",400,"MSTSJL",97200002,"KBH431",55.8616666666667,12.7336055555556,501,"MST2021029","MST2021029_2021-09-07","MST2021029::2021-09-07","MST2021029STEX21_07","alkri",NA,"Sif","MST2021029STEX21_07","21_07",17.1,"MST2021029","ja",1800,TRUE,7,9,2021,16412,"Colper","Unknown",0,21,4,165,0
"499","D02","MST2021031","Colper",0,15858,0,15858,15858,NA,"ddpcr0033","ErudtagetmedLindahlslangesomdybdeintegredetproeverfra0_10metersammenmedplanktonproeverneogsaaprofilmaalingerchlAogvandkemi",0.97,"2021-nov-24","2021-07-03","2021-06-17","2021-06-17",NA,4,"MST-SX21",400,"Nordjylland",92200001,"HirtshalsNOR7715_92200001",57.6078333333333,9.90025555555555,15,"MST2021031","MST2021031_2021-06-17","MST2021031::2021-06-17","MST2021031STEX21_09","SvendaageBendtsen",NA,"MagretheGaardbo","MST2021031STEX21_09","21_09",14,"MST2021031","nej",1200,FALSE,17,6,2021,15858,"Colper","Unknown",0,23,4,167,0
"500","D03","MST2021005","Colper",0.0797201842069626,14758,1,14757,14758,NA,"ddpcr0033",NA,11.7,"2022-jan-11","2021-06-10","2021-06-01","2021-06-01",NA,1,"MST-SX24",400,"Sjaelland",93220011,"ROS60_322RoskildeFjord",55.713,12.04,48,"MST2021005","MST2021005_2021-06-01","MST2021005::2021-06-01","MST2021005STEX24_12","EmilGuddalLarsen",NA,"Mergus","MST2021005STEX24_12","24_12",17.1,"MST2021005","nej",1600,TRUE,1,6,2021,14758,"Colper","Unknown",0.0797201842069626,11,4,155,1
"501","D04","MST2021089","Colper",0,13801,0,13801,13801,NA,"ddpcr0033",NA,5.7,"2022-jan-06","2021-05-20","2021-05-17","2021-05-17","75",13,"MST-SX23",400,"MSTOJL",94510035,"EbeltoftVig",56.2094,10.6003444444444,14,"MST2021089","MST2021089_2021-05-17","MST2021089::2021-05-17","MST2021089STEX23_06","janeRobertsen",NA,"Frigg","MST2021089STEX23_06","23_06",77.3,"MST2021089","ja",1400,FALSE,17,5,2021,13801,"Colper","Unknown",0,46,4,190,0
"502","D05","MST2021082","Colper",0,15657,0,15657,15657,NA,"ddpcr0033",NA,4.09,"2021-nov-24","2021-09-08","2021-09-07","2021-09-07","4",1,"MST-SX21",400,"MSTNJL",93000005,"93000005_NOR409",56.8561,10.7845083333333,146,"MST2021082","MST2021082_2021-09-07","MST2021082::2021-09-07","MST2021082STEX21_23","RasmusBillegrav",NA,"Frigg","MST2021082STEX21_23","21_23",160.3,"MST2021082","ja",1500,FALSE,7,9,2021,15657,"Colper","Unknown",0,42,4,186,0
"503","D06","MST2021019","Colper",0,18431,0,18431,18431,NA,"ddpcr0033",NA,3.86,"2022-jan-11","2021-05-31","2021-05-25","2021-05-25","11m",1,"MST-SX24",400,"MST_NJL",93000005,"NOR409_aalborgBugt",56.8566666666667,10.7834722222222,146,"MST2021019","MST2021019_2021-05-25","MST2021019::2021-05-25","MST2021019STEX24_21","ALKRI_NICRA",NA,"Sif","MST2021019STEX24_21","24_21",88,"MST2021019","ja",1650,TRUE,25,5,2021,18431,"Colper","Unknown",0,18,4,162,0
"504","D07","MST2021083","Colper",0,16512,0,16512,16512,NA,"ddpcr0033",NA,7.8,"2022-jan-11","2021-10-29","2021-10-22","2021-10-22","12",1,"MST-SX24",400,"MSTFYN",95600002,"FYN6300043",54.9976833333333,10.1517305555556,34,"MST2021083","MST2021083_2021-10-22","MST2021083::2021-10-22","MST2021083STEX24_03","alkri",NA,"Sif","MST2021083STEX24_03","24_03",12.5,"MST2021083","ja",1500,FALSE,22,10,2021,16512,"Colper","Unknown",0,43,4,187,0
"505","E02","MST2021032","Colper",0,15922,0,15922,15922,NA,"ddpcr0033","erudtagetmedNiskinvandhenter",3.28,"2022-jan-11","2021-07-03","2021-06-23","2021-06-23",NA,3,"MST-SX24",400,"Nordjylland",93920064,"KragskovRevSyd",57.5407666666667,10.4687805555556,4,"MST2021032","MST2021032_2021-06-23","MST2021032::2021-06-23","MST2021032STEX24_11","SvendaageBendtsen",NA,"Pingo","MST2021032STEX24_11","24_11",15.7,"MST2021032","nej",1400,FALSE,23,6,2021,15922,"Colper","Unknown",0,24,4,168,0
"506","E03","MST2021025","Colper",0,13043,0,13043,13043,NA,"ddpcr0033","Datoforoverfoerseltil_80Cfryserenilaboratorieterikkedokumenteremenproevemersenestblevetoverfoertd15_06_2021ogmuligvisvedentidligeredato
",3.16,"2022-jan-11","2021-06-15","2021-06-10","2021-06-10",NA,28,"MST-SX24",400,"Sjaelland",99150002,"FranksRev",55.0334833333333,15.5078333333333,39,"MST2021025","MST2021025_2021-06-10","MST2021025::2021-06-10","MST2021025STEX24_02","EmilGuddalLarsen",NA,"Mergus","MST2021025STEX24_02","24_02",16.8,"MST2021025","nej",1750,TRUE,10,6,2021,13043,"Colper","Unknown",0,19,4,163,0
"507","E04","MST2021088","Colper",0,14227,0,14227,14227,NA,"ddpcr0033",NA,16.5,"2022-feb-01","2021-05-21","2021-05-20","2021-05-20","75",188,"MST-SX25",400,"MSTFYN",96700057,"KertemindeBugt",55.4392166666667,10.8276944444444,198,"MST2021088","MST2021088_2021-05-20","MST2021088::2021-05-20","MST2021088STEX25_03","janeRobertsen",NA,"Frigg","MST2021088STEX25_03","25_03",73.7,"MST2021088","ja",1600,FALSE,20,5,2021,14227,"Colper","Unknown",0,45,4,189,0
"508","E05","MST2021070","Colper",0,14654,0,14654,14654,NA,"ddpcr0033",NA,9.1,"2022-jan-11","2021-10-27","2021-10-26","2021-10-26","86",1,"MST-SX24",400,"MSTNJL",93610032,"93610032",56.6626666666667,9.96678333333333,28,"MST2021070","MST2021070_2021-10-26","MST2021070::2021-10-26","MST2021070STEX24_16","RasmusBillegrav",NA,"Frigg","MST2021070STEX24_16","24_16",107.4,"MST2021070","ja",1200,FALSE,26,10,2021,14654,"Colper","Unknown",0,36,4,180,0
